,Unnamed: 0,img_url,description
148,148,/us/en/images/products/billy-bookcase__0644140_PE702439_S4.JPG,"Narrow shelves help you use small wall spaces effectively by accommodating small items in a minimum of space. Adjustable shelves can be arranged according to your needs. Surface made from natural wood veneer. This bookcase has a height extension unit, allowing you to make the most of the wall area."
9,9,/us/en/images/products/anilinare-notebook__0669851_PE716472_S4.JPG,"To keep your writing or calculations neat on the blank pages, a loose leaf with lines and boxes is included. You can put it behind the page you are writing or calculating on. On the inside of the binder there is space to write your name and contact information. The notebook’s shape lasts longer thanks to the rounded corners. The pages have a light color tone to make it easier on your eyes."
2210,2210,/us/en/images/products/poang-rocking-chair-black__0093932_PE231541_S4.JPG,"The frame is made of layerglued bent birch which is a very strong and durable material. Soft, durable and easy care leather which is practical for families with children. A variety of seat cushion designs makes it easy to change the look of your POÄNG chair and your living room. The high back provides good support for your neck. 10year limited warrranty. Read about the terms in the limited warranty brochure."
1081,1081,/us/en/images/products/hemnes-tv-unit__0625361_PE692211_S4.JPG,"Solid wood has a natural feel. Open compartments for your DVD player, etc. Large drawers make it easy to keep your things organized."
628,628,/us/en/images/products/farlov-cover-for-sofa-white__0519542_PE641598_S4.JPG,A yarndyed fabric with natural hints of flax that gives the cover a texture that both looks and feels crisp. The cover is easy to keep clean as it is removable and can be machine washed.
1065,1065,/us/en/images/products/hemnes-hat-and-coat-stand-black__0710635_PE727668_S4.JPG,Also stands steady on an uneven floor since the feet can be adjusted. Also protects the floor as there's room for wet shoes on the coat stand’s wide base.
1527,1527,/us/en/images/products/kungsholmen-seat-modular-sofa-outdoor-gray__0589911_PE673547_S4.JPG,"By combining different seating sections you can create a sofa in a shape and size that perfectly suits your outdoor space. Durable, weatherresistant and maintenance free since it’s made of plastic rattan and rustproof aluminum. The cushion has a longer life because it can be turned over and used on both sides. The cover is easy to keep clean because it is removable and machine washable. You can make your sofa more comfortable and personal by adding decorative cushions in various sizes, colors and patterns."
2675,2675,/us/en/images/products/stocksund-sofa__0378892_PE556222_S4.JPG,You get extra soft comfort and support because the thick cushion has a core of pocket springs and a top of cut foam and polyester fibers. The core of pocket springs is durable and keeps its form and soft comfort for a longer time. The wider seat angle makes the sofa feel deeper and you sit more comfortably. NOLHAGA is a durable cover made of a thicker cotton and polyester fabric with fine details such as a twotoned effect. The cover is easy to keep clean as it is removable and can be machine washed. The turned legs are made of solid beech. 10year limited warrranty. Read about the terms in the limited warranty brochure.
2030,2030,/us/en/images/products/overallt-bowl-gray__0671777_PE716349_S4.JPG,Durable stoneware which is just as suitable for everyday as for parties.
799,799,/us/en/images/products/godmorgon-high-cabinet-gray__0721629_PE733298_S4.JPG,"10year Limited Warranty. Read about the terms in the Limited Warranty brochure. The glass door allows you to see your things, while protecting them from dust. You can mount the door to open from the right or left. You can move the shelves and adjust the spacing according to your personal needs. The adjustable shelves are extra heat and impactresistant and have a high loadbearing capacity since they are made of tempered glass."
288,288,/us/en/images/products/delaktig-chaise-with-side-table-and-lamp-gray__0668935_PE714763_S4.JPG,"10year limited warrranty. Read about the terms in the limited warranty brochure. Add, remove or change functions to suit your needs, and choose covers to fit your style. The cover is easy to keep clean as it is removable and can be washed. The zipper makes the cover easy to remove."
1625,1625,/us/en/images/products/liatorp-console-table-white__0735727_PE740137_S4.JPG,"Practical storage space underneath the table top. Can be placed behind a sofa, along a wall, or be used as a room divider."
3258,3258,/us/en/images/products/vardagen-bowl-white__0712199_PE728652_S4.JPG,"Simple yet timeless tableware with a traditional style, soft, round shapes and attention to detail that frames the food on your table well. The size and shape of the bowl makes it perfect for use as a rice bowl. Stack the smaller sizes inside the larger of the same range, to save space when not in use."
1800,1800,/us/en/images/products/mala-watercolor-box-assorted-colors__0712615_PE728930_S4.JPG,"Paint in vivid colors that blends smoothly and makes it easy for children to mix their own colors. Fun and easy to use. The water cups stand steady in the box and the brushes are designed to fit comfortably in children’s hands, so they can paint with ease. Practical box that your child can use to store and carry their art supplies. Creating and being creative makes you calm and focused, and is extra nice after a day of school and activities. Of course everything in the MÅLA series is nontoxic – we care just as much about the creative minds of the next generation as you do."
1491,1491,/us/en/images/products/kungsfors-magnetic-clip__0712626_PE728942_S4.JPG,"These magnetic clips give you more countertop space since you can hang things like recipes, shopping lists and pictures. Can be used in high humidity areas."
2174,2174,/us/en/images/products/fejka-artificial-potted-plant-with-pot__0748876_PE745265_S4.JPG,"Lifelike artificial plant that remains looking fresh year after year. Perfect if you can't have a live plant, but still want to enjoy the beauty of nature."
1587,1587,/us/en/images/products/lankmoj-folder__0754789_PE748098_S4.JPG,Folder with rubber band that's easy to carry and protects the contents from folds and getting rough edges.
