,img_url,description
0,/us/en/images/products/allemansratten-mashed-potatoes-frozen__0485986_PE621757_S4.JPG,"Easily prepared in minutes by heating in a saucepan. For an extra smooth product, add some water or milk. Meatballs with mashed potatoes, cream sauce and lingonberry jam is Sweden’s No.1 dish. Mashed potatoes should taste like potatoes. Containing 82 % potatoes and milk, our mashed potatoes certainly do. The small chunks of potatoes give an extra rustic feel. When prepared according to the instructions, bake in the oven. Great with fish. Make your mashed potatoes more exciting by mixing with vegetables or spices when preparing."
1,/us/en/images/products/allemansratten-meatballs-frozen__0485983_PE621755_S4.JPG,"Only natural ingredients: meat (84%), onion, bread crumbs, egg, water, salt and pepper. Meatballs with mashed potatoes, cream sauce and lingonberry jam is Sweden’s No.1 dish. Meatballs should taste like meat. That’s why we’ve seasoned the beef and pork gently with only a few ingredients, every one of them enhancing the meat flavor even more. Easily prepared from frozen in minutes. In the oven, in the microwave or on the stove. Easily portioned. Prepare the amount needed, leave the rest in the freezer. Just as tasty warm as they are cold, e.g. cut in half as a sandwich topping. Create a buffet with meatballs, veggie balls, chicken meatballs and salmon balls. One for every taste."
2,/us/en/images/products/allemansratten-mix-for-cream-sauce__0485995_PE621761_S4.JPG,"Easily prepared in minutes. Mix with water in a saucepan and heat. Meatballs with mashed potatoes, cream sauce and lingonberry jam is Sweden’s No.1 dish. Cream sauce should be creamy and aromatic. That’s why every flavor in our mix for cream sauce is released when you add the cream and heat. Make your sauce more exciting. Mix with spices like green peppercorn, herbs like thyme, or your favorite mustard."
3,/us/en/images/products/allemansratten-vegetable-balls-frozen__0485990_PE621758_S4.JPG,"Clearly visible chunks of chickpeas, green peas, carrots, bell peppers, corn and kale in a beautiful array of colors. An eating option with fewer calories and less fat. By eating more vegetables you reduce your carbon footprint. Includes no animal ingredients, therefore it's a good choice for vegetarians and vegans. Veggie balls should taste like vegetables. That’s why ours consist of nothing but vegetables. They’re a celebration of vegetables. The recipe does not contain ingredients with allergens such as gluten, soy, nut, egg or lactose so as many people as possible can enjoy them. A good source of fiber, protein, vitamins and nutrients, but low in cholesterol. Easily prepared from frozen in minutes. In the oven, in the microwave or on the stove. Easily portioned. Prepare the amount needed, leave the rest in the freezer. Can be combined in many different ways. For example, try these instead of meatballs in your favorite meatball dish. Just as tasty warm as they are cold, e.g. cut in half as a sandwich topping. Create a buffet with meatballs, veggie balls, chicken meatballs and salmon balls. One for every taste."
4,/us/en/images/products/anilinare-binder-clip__0669814_PE716467_S4.JPG,"With these small clips, it’s easier to organize loose papers, pictures and all the children's drawings. The handle has a hole that allows you to hang the clips on the wall and change pictures now and then, both practical and decorative."
5,/us/en/images/products/anilinare-decorative-box-blue__0669854_PE716475_S4.JPG,"The decorative box has 3 hidden compartments for small things. The magnetic lock holds the box closed, even if it tips over."
6,/us/en/images/products/anilinare-decorative-box-set-of-blue__0669857_PE716485_S4.JPG,A decorative gift box for a friend or a practical box to use for your own small things.
7,/us/en/images/products/anilinare-folder-with-stickers-blue__0669817_PE716469_S4.JPG,"With these selfadhesive lables and stickers, you quickly personalize your presents, notebooks and boxes."
8,/us/en/images/products/anilinare-notebook-blue__0669833_PE716482_S4.JPG,The bookmark helps you quickly find the right page and the rubber band holds loose papers in place. The pages have a light color tone to make it easier on your eyes.
9,/us/en/images/products/anilinare-notebook__0669851_PE716472_S4.JPG,"To keep your writing or calculations neat on the blank pages, a loose leaf with lines and boxes is included. You can put it behind the page you are writing or calculating on. On the inside of the binder there is space to write your name and contact information. The notebook’s shape lasts longer thanks to the rounded corners. The pages have a light color tone to make it easier on your eyes."
